,0
0,Barisal
1,Bhairab
2,Bogura
3,Brahmanbaria
4,Chandpur
5,Chittagong
6,Chowmuhani
7,Chuadanga
8,Coxs Bazar
9,Dinajpur
10,Faridpur
11,Feni
12,Gaibandha
13,Gazipur
14,Habiganj
15,Jamalpur
16,Jhalokhati
17,Jhenaidah
18,Jossore
19,Khulna
20,Kishoreganj
21,Kurigram
22,Kushtia
23,Lalmonirhat
24,Magura
25,Maulvibazar
26,Mymensingh
27,Naogaon
28,Narayanganj
29,Narsingdi
30,Natore
31,Nawabganj
32,Noakhali
33,Panchagarh
34,Patiya
35,Patuakhali
36,Pirojpur
37,Rajshahi
38,Rangamati
39,Rangpur
40,Saidpur
41,Satkhira
42,Savar
43,Shahjadpur
44,Sherpur
45,Sirajgonj
46,Sreepur
47,Sunamganj
48,Sylhet
49,Tangail
50,Tongi
